timestamp,username,source_ip,success
2025-02-01 09:40,user1,10.0.0.3,true
2025-02-01 09:45,user2,10.0.0.4,true
2025-02-01 09:50,user3,10.0.0.6,false
2025-02-01 09:52,user3,10.0.0.6,true

2025-02-01 10:00,user1,10.0.0.5,false
2025-02-01 10:01,user2,10.0.0.5,false
2025-02-01 10:02,user3,10.0.0.5,false
2025-02-01 10:03,user4,10.0.0.5,false

2025-02-01 10:15,user5,10.0.0.7,false
2025-02-01 10:17,user5,10.0.0.7,true

2025-02-01 10:20,admin,10.0.0.8,false
2025-02-01 10:21,admin,10.0.0.8,false
2025-02-01 10:22,admin,10.0.0.8,false
2025-02-01 10:28,admin,10.0.0.9,true
